loan_type,principal,apr,total_loan_cost,monthly_payment,btc_monthly_amount,total_btc_investment,btc_accumulated,final_btc_value,net_position,roi_percentage,start_date,end_date,interest_cost,net_interest_after_btc,effective_apr,effective_apy,rate_type
Auto Loan,20000,5.99,21900.532782828734,608.3481328563537,30.417406642817685,1095.0266391414368,0.03397272005244479,3179.5287821127413,2084.5021429713042,190.36086141298557,2021-11-25 23:00:00,2024-11-25 23:00:00,1900.5327828287336,-183.96936014257062,0.2550215108352072,0.7670172701924226,return
Auto Loan,35000,6.99,40221.89713515774,837.9561903157863,62.84671427368397,3016.642285136833,0.091039793927098,8520.473034304185,5503.830749167351,182.44890275141458,2020-11-25 23:00:00,2024-11-25 23:00:00,5221.897135157742,-281.9336140096093,0.1537887348528555,0.6165754533702172,return
Auto Loan,50000,7.99,60814.826354243865,1013.5804392373977,101.35804392373979,6081.482635424381,0.2856179542869269,26731.168565294,20649.685929869618,339.5501914218428,2019-11-25 23:00:00,2024-11-25 23:00:00,10814.826354243865,-9834.859575625753,2.305708078764601,12.072569146827954,return
Mortgage,300000,4.99,579107.4823848942,1608.6318955135948,40.21579738783987,14477.687059622433,42.96913732998747,4021509.2778071044,4007031.590747482,27677.29109108111,1994-11-25 23:00:00,2024-11-25 23:00:00,279107.48238489416,-3727924.108362588,2.0028258191450377,81.2867653796722,return
Mortgage,500000,5.49,1020891.1424188974,2835.8087289413816,141.79043644706908,51044.55712094473,151.4979965961139,14178795.217638101,14127750.660517156,27677.291091081333,1994-11-25 23:00:00,2024-11-25 23:00:00,520891.14241889736,-13606859.51809826,2.159378355512387,89.8223068120934,return
Mortgage,750000,5.99,1617050.9447013175,4491.808179725882,336.88561347944113,121278.8208525998,359.95019694604355,33687971.100057244,33566692.279204644,27677.291091080962,1994-11-25 23:00:00,2024-11-25 23:00:00,867050.9447013175,-32699641.334503327,2.214862360341918,92.9396315974851,return
Personal Loan,10000,8.99,10963.237015809173,456.8015423253822,22.84007711626911,548.1618507904587,0.016086158209055654,1505.5139223575634,957.3520715671046,174.6477012558584,2022-11-25 23:00:00,2024-11-25 23:00:00,963.2370158091726,5.884944242067945,0.029420393412604717,0.029424360884822143,cost
Personal Loan,25000,9.99,29036.243209369426,806.562311371373,60.49217335285297,2177.718240702706,0.06756275098704681,6323.241442852097,4145.52320214939,190.36086141298577,2021-11-25 23:00:00,2024-11-25 23:00:00,4036.243209369426,-109.27999277996423,0.10965886483678133,0.32933747837495614,return
Personal Loan,40000,11.99,50551.53751355836,1053.157031532466,105.3157031532466,5055.153751355833,0.15256040070139007,14278.226303101548,9223.072551745714,182.44890275141506,2020-11-25 23:00:00,2024-11-25 23:00:00,10551.53751355836,1328.464961812646,0.8201457363852471,0.8232356995549139,cost
